year,station_id,precipitation_height,mean_temp_c,max_temp_c,min_temp_c
1947,Würzburg,1.3821917808219177,9.860821917808241,19.43090909090911,7.9138181818182005
1948,Würzburg,1.5587431693989071,9.743169398907124,14.770218579234994,5.32759562841532
1949,Bamberg,1.1715068493150687,9.856164383561667,15.007945205479473,4.796986301369885
1949,Frankfurt,1.3402739726027397,10.547945205479474,15.25342465753427,5.507671232876732
1949,Würzburg,1.2134246575342464,10.140000000000024,15.37589041095893,5.305479452054816
1950,Bamberg,1.9958904109589042,9.353972602739749,14.034520547945224,5.068493150684956
1950,Frankfurt,2.0627397260273974,9.71424657534249,14.218630136986322,5.415068493150708
1950,Würzburg,1.8871232876712327,9.47342465753427,14.210684931506874,5.172328767123309
1951,Bamberg,1.7764383561643835,9.636986301369888,14.454246575342488,5.524931506849339
1951,Frankfurt,1.5572602739726027,9.987123287671253,14.509041095890431,5.75205479452057
1951,Würzburg,1.4558904109589041,9.68136986301372,14.198356164383586,5.5980821917808425
1952,Bamberg,2.0245901639344264,8.407650273224068,13.224863387978164,3.959289617486362
1952,Frankfurt,2.1035519125683058,9.461202185792372,13.841530054644831,5.295355191256853
1952,Würzburg,1.9612021857923496,9.081147540983627,13.12240437158472,5.151639344262318
1953,Bamberg,1.0624657534246575,9.088767123287694,14.504931506849339,3.970684931506874
1953,Frankfurt,1.0873972602739725,10.196438356164407,14.973972602739748,5.6802739726027625
1953,Würzburg,1.08,9.745479452054816,14.343835616438376,5.262739726027417
1954,Bamberg,1.892876712328767,8.006027397260297,12.686027397260295,3.4010958904109843
1954,Frankfurt,1.7936986301369864,9.241917808219199,13.430958904109612,5.174794520547968
1954,Würzburg,1.670958904109589,8.609863013698654,12.93890410958906,4.473424657534265
1955,Bamberg,1.8071232876712329,7.719452054794543,12.465479452054813,3.237808219178109
1955,Frankfurt,1.689041095890411,8.89369863013701,13.248767123287694,4.632328767123311
1955,Würzburg,1.816986301369863,8.275616438356186,12.675342465753445,4.122739726027417
1956,Bamberg,2.2051912568306014,6.925956284153028,11.689617486338816,2.4385245901639636
1956,Frankfurt,2.0423497267759565,8.290437158469969,12.377322404371608,4.202185792349749
1956,Würzburg,1.6472677595628415,7.699180327868875,11.935245901639368,3.7333333333333547
1957,Bamberg,1.806027397260274,8.776164383561664,13.593698630137006,4.13945205479455
1957,Frankfurt,1.9465753424657535,9.634794520547969,14.244109589041116,5.014794520547966
1957,Würzburg,1.8427397260273972,9.35232876712331,13.686027397260299,5.152054794520571
1958,Bamberg,2.1402739726027398,8.526575342465776,13.206027397260293,4.110684931506878
1958,Frankfurt,2.182191780821918,9.42410958904112,13.727123287671256,5.1810958904109805
1958,Würzburg,1.8605479452054796,9.078082191780844,13.260547945205502,5.160000000000024
1959,Bamberg,1.3068493150684932,9.208219178082215,15.133424657534263,3.487397260274003
1959,Frankfurt,1.2997260273972602,10.506027397260297,15.683561643835636,5.43315068493153
1959,Würzburg,1.2616438356164383,9.935890410958928,15.017808219178107,4.99342465753427
1960,Bamberg,1.7251366120218579,8.92513661202188,13.568306010928982,4.1202185792349955
1960,Frankfurt,2.027049180327869,9.784153005464505,14.261748633879805,5.249180327868875
1960,Würzburg,1.719398907103825,9.364480874316964,13.57732240437161,5.287431693989094
1961,Bamberg,1.7136986301369863,9.020821917808242,14.15945205479454,4.5112328767123495
1961,Frankfurt,2.315068493150685,9.96438356164386,14.699452054794541,5.460000000000021
1961,Würzburg,1.922739726027397,9.730684931506872,14.030958904109614,5.562739726027421
1962,Bamberg,1.3372602739726027,7.316712328767146,12.39945205479454,2.404109589041116
1962,Frankfurt,1.4747945205479451,8.441643835616462,13.187397260273993,3.5846575342465985
1962,Würzburg,1.4843835616438354,8.000547945205504,12.447945205479474,3.7068493150685167
1963,Bamberg,1.5575342465753426,7.219726027397282,12.48109589041098,2.218904109589061
1963,Frankfurt,1.7065753424657533,8.259178082191804,12.921095890410982,3.34109589041098
1963,Würzburg,1.3402739726027397,8.008493150684954,12.482739726027422,3.4936986301370094
1964,Bamberg,1.1360655737704919,8.327322404371607,13.322404371584723,3.375683060109311
1964,Frankfurt,1.2573770491803278,9.592896174863412,14.227049180327892,4.609016393442644
1964,Würzburg,1.1185792349726775,9.20027322404374,13.555737704918057,4.786885245901662
1965,Bamberg,2.504931506849315,7.796164383561667,12.561643835616461,3.6986301369863224
1965,Frankfurt,2.8961643835616435,8.87260273972605,13.12356164383564,4.650684931506871
1965,Würzburg,2.82027397260274,8.415890410958928,12.435616438356186,4.73342465753427
1966,Bamberg,2.3465753424657536,8.944109589041119,13.492602739726047,4.698356164383582
1966,Frankfurt,2.4575342465753423,9.931506849315092,14.356164383561666,5.45260273972605
1966,Würzburg,2.2660273972602742,9.512876712328788,13.47315068493153,5.845479452054817
1967,Bamberg,1.6,9.046301369863038,13.980821917808242,4.414520547945226
1967,Frankfurt,1.9887671232876711,10.104931506849336,14.676986301369887,5.232876712328791
1967,Würzburg,1.5364383561643835,9.766301369863035,14.075890410958928,5.522465753424681
1968,Bamberg,1.9510928961748635,8.323224043715868,12.968852459016414,4.04153005464483
1968,Frankfurt,2.071584699453552,9.28114754098363,13.405737704918058,4.7855191256830825
1968,Würzburg,2.0685792349726775,8.817759562841553,12.783606557377075,5.012021857923521
1969,Bamberg,1.5736986301369862,8.071232876712353,12.958904109589062,3.528493150684953
1969,Frankfurt,1.59013698630137,9.123835616438377,13.406575342465777,4.8334246575342705
1969,Würzburg,1.6402739726027398,8.66410958904112,12.844109589041121,4.697534246575364
